Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
12,1343,6,3,9,2,0,0.0,0.25,0,0,0,3,1,1.0,2,6
5,542,2,2,3,2,0,0.0,0.4,0,0,0,3,2,1.0,1,0
16,1792,9,2,14,2,0,0.0,0.125,0,0,0,3,1,1.0,4,6
5,578,2,1,4,1,0,0.0,0.2,0,0,0,3,2,1.0,1,0
20,2074,2,9,11,7,1,0.05,0.45,0,0,0,10,9,0.95,4,8
7,784,3,3,4,2,0,0.0,0.42857142857142855,1,0,0,3,1,1.0,1,0
6,659,1,1,5,1,0,0.0,0.16666666666666666,0,0,0,6,6,1.0,1,0
20,2160,6,8,12,6,0,0.0,0.4,0,0,0,5,1,1.0,4,4
7,781,3,4,3,4,0,0.0,0.5714285714285714,0,0,0,5,1,1.0,1,0
9,1019,3,2,7,1,0,0.0,0.2222222222222222,1,1,0,5,1,1.0,2,0
14,1432,2,5,9,4,1,0.07142857142857142,0.35714285714285715,1,1,0,8,5,0.9285714285714286,3,8
16,1776,5,4,12,5,0,0.0,0.25,0,0,0,5,2,1.0,4,0
7,769,2,3,4,2,0,0.0,0.42857142857142855,0,0,0,6,1,1.0,1,0
6,645,2,2,4,2,0,0.0,0.3333333333333333,1,1,0,4,2,1.0,1,0
27,2408,18,4,23,3,0,0.0,0.14814814814814814,1,0,0,3,1,1.0,4,3
9,985,1,4,5,4,0,0.0,0.4444444444444444,0,0,0,9,9,1.0,2,0
12,1122,6,1,11,1,0,0.0,0.08333333333333333,0,0,0,3,1,1.0,2,13
12,1328,6,1,11,1,0,0.0,0.08333333333333333,0,0,0,3,1,1.0,2,15
12,1298,3,4,8,4,0,0.0,0.3333333333333333,0,0,0,5,2,1.0,2,0
18,1999,7,7,11,7,0,0.0,0.3888888888888889,2,1,0,4,1,1.0,4,4
26,2285,22,1,25,2,0,0.0,0.038461538461538464,0,0,0,2,1,1.0,4,3
12,1280,2,4,8,3,0,0.0,0.3333333333333333,1,0,0,6,6,1.0,2,0
5,548,2,2,3,3,0,0.0,0.4,0,0,0,3,2,1.0,1,0
8,893,2,2,6,2,0,0.0,0.25,1,1,0,4,4,1.0,1,0
16,1731,7,2,14,2,0,0.0,0.125,1,1,0,3,2,1.0,4,1
12,1315,2,5,7,4,0,0.0,0.4166666666666667,1,0,1,8,4,1.0,2,0
8,858,3,2,6,2,0,0.0,0.25,1,1,0,4,1,1.0,1,0
12,1283,2,5,7,4,0,0.0,0.4166666666666667,2,0,0,6,6,1.0,2,9
17,1856,9,1,16,1,0,0.0,0.058823529411764705,0,0,0,3,1,1.0,4,11
18,1784,11,1,17,2,0,0.0,0.05555555555555555,0,0,0,2,1,1.0,4,12
17,1867,9,4,13,2,0,0.0,0.23529411764705882,0,0,0,3,1,1.0,4,11
17,1849,8,3,14,4,0,0.0,0.17647058823529413,0,0,0,3,2,1.0,4,11
18,1918,2,7,11,6,0,0.0,0.3888888888888889,0,0,0,9,9,1.0,4,9
8,865,1,3,5,3,0,0.0,0.375,0,0,0,8,8,1.0,1,0
10,1055,2,3,7,2,0,0.0,0.3,2,2,0,6,4,1.0,2,0
